client,group,product_type,title,issues,url
Designer Eyes,Sunglasses,SUNGLASS,GASCAN RECTANGULAR SUNGLASS,"PRICE $10,000.00 (exceeds $5,000)",https://www.designereyes.com/products/oo9014-oakley
Designer Eyes,Sunglasses,SUNGLASS,UNSTOPPABLE RECTANGULAR SUNGLASS,"PRICE $10,000.00 (exceeds $5,000)",https://www.designereyes.com/products/oo9191-oakley
